,time_seconds,time_seconds_delta,Timestamp,Data,X,Y,Z,Gmag,Gmag_norm,Std threshold,Q3 threshold,HO threshold
0,0.0,0,1900-01-01 18:53:24.751,0000187888 [app] INFO: GYRO: ,7.016,0.871,-2.113,7.378866173064802,0.10137009971753594,Normal data,Normal data,Normal data
1,0.09,0.09,1900-01-01 18:53:24.841,0000187977 [app] INFO: GYRO: ,7.016,0.871,-2.113,7.378866173064802,0.10137009971753594,Normal data,Normal data,Normal data
2,0.179,0.089,1900-01-01 18:53:24.930,0000188067 [app] INFO: GYRO: ,7.016,0.871,-2.113,7.378866173064802,0.10137009971753594,Normal data,Normal data,Normal data
3,0.272,0.09300000000000003,1900-01-01 18:53:25.023,0000188157 [app] INFO: GYRO: ,7.016,0.871,-2.113,7.378866173064802,0.10137009971753594,Normal data,Normal data,Normal data
4,0.362,0.08999999999999997,1900-01-01 18:53:25.113,0000188247 [app] INFO: GYRO: ,7.016,0.871,-2.113,7.378866173064802,0.10137009971753594,Normal data,Normal data,Normal data
5,0.45,0.08800000000000002,1900-01-01 18:53:25.201,0000188337 [app] INFO: GYRO: ,7.016,0.871,-2.113,7.378866173064802,0.10137009971753594,Normal data,Normal data,Normal data
6,0.541,0.09100000000000003,1900-01-01 18:53:25.292,0000188427 [app] INFO: GYRO: ,7.016,0.871,-2.113,7.378866173064802,0.10137009971753594,Normal data,Normal data,Normal data
7,0.632,0.09099999999999997,1900-01-01 18:53:25.383,0000188517 [app] INFO: GYRO: ,7.016,0.871,-2.113,7.378866173064802,0.10137009971753594,Normal data,Normal data,Normal data
8,0.72,0.08799999999999997,1900-01-01 18:53:25.471,0000188607 [app] INFO: GYRO: ,7.016,0.871,-2.113,7.378866173064802,0.10137009971753594,Normal data,Normal data,Normal data
9,0.808,0.08800000000000008,1900-01-01 18:53:25.559,0000188697 [app] INFO: GYRO: ,7.016,0.871,-2.113,7.378866173064802,0.10137009971753594,Normal data,Normal data,Normal data
10,0.901,0.09299999999999997,1900-01-01 18:53:25.652,0000188787 [app] INFO: GYRO: ,7.016,0.871,-2.113,7.378866173064802,0.10137009971753594,Normal data,Normal data,Normal data
11,1.041,0.1399999999999999,1900-01-01 18:53:25.792,0000188877 [app] INFO: GYRO: ,7.016,0.871,-2.113,7.378866173064802,0.10137009971753594,Normal data,Normal data,Normal data
12,1.124,0.08300000000000018,1900-01-01 18:53:25.875,0000189012 [app] INFO: GYRO: ,7.016,0.871,-2.113,7.378866173064802,0.10137009971753594,Normal data,Normal data,Normal data
13,1.216,0.09199999999999986,1900-01-01 18:53:25.967,0000189102 [app] INFO: GYRO: ,7.016,0.871,-2.113,7.378866173064802,0.10137009971753594,Normal data,Normal data,Normal data
14,1.303,0.08699999999999997,1900-01-01 18:53:26.054,0000189192 [app] INFO: GYRO: ,7.016,0.871,-2.113,7.378866173064802,0.10137009971753594,Normal data,Normal data,Normal data
15,1.399,0.09600000000000009,1900-01-01 18:53:26.150,0000189282 [app] INFO: GYRO: ,7.016,0.871,-2.113,7.378866173064802,0.10137009971753594,Normal data,Normal data,Normal data
16,1.487,0.08800000000000008,1900-01-01 18:53:26.238,0000189372 [app] INFO: GYRO: ,7.016,0.871,-2.113,7.378866173064802,0.10137009971753594,Normal data,Normal data,Normal data
17,1.576,0.08899999999999997,1900-01-01 18:53:26.327,0000189462 [app] INFO: GYRO: ,7.016,0.871,-2.113,7.378866173064802,0.10137009971753594,Normal data,Normal data,Normal data
18,1.665,0.08899999999999997,1900-01-01 18:53:26.416,0000189552 [app] INFO: GYRO: ,7.016,0.871,-2.113,7.378866173064802,0.10137009971753594,Normal data,Normal data,Normal data
19,1.757,0.09199999999999986,1900-01-01 18:53:26.508,0000189642 [app] INFO: GYRO: ,7.016,0.871,-2.113,7.378866173064802,0.10137009971753594,Normal data,Normal data,Normal data
20,1.845,0.08800000000000008,1900-01-01 18:53:26.596,0000189732 [app] INFO: GYRO: ,7.016,0.871,-2.113,7.378866173064802,0.10137009971753594,Normal data,Normal data,Normal data
21,1.938,0.09299999999999997,1900-01-01 18:53:26.689,0000189822 [app] INFO: GYRO: ,7.016,0.871,-2.113,7.378866173064802,0.10137009971753594,Normal data,Normal data,Normal data
22,2.024,0.08600000000000008,1900-01-01 18:53:26.775,0000189912 [app] INFO: GYRO: ,7.016,0.871,-2.113,7.378866173064802,0.10137009971753594,Normal data,Normal data,Normal data
23,2.114,0.08999999999999986,1900-01-01 18:53:26.865,0000190002 [app] INFO: GYRO: ,7.016,0.871,-2.113,7.378866173064802,0.10137009971753594,Normal data,Normal data,Normal data
24,2.257,0.14300000000000024,1900-01-01 18:53:27.008,0000190092 [app] INFO: GYRO: ,7.016,0.871,-2.113,7.378866173064802,0.10137009971753594,Normal data,Normal data,Normal data
25,2.34,0.08299999999999974,1900-01-01 18:53:27.091,0000190227 [app] INFO: GYRO: ,7.016,0.871,-2.113,7.378866173064802,0.10137009971753594,Normal data,Normal data,Normal data
26,2.428,0.08800000000000008,1900-01-01 18:53:27.179,0000190317 [app] INFO: GYRO: ,7.016,0.871,-2.113,7.378866173064802,0.10137009971753594,Normal data,Normal data,Normal data
