,Unnamed: 0,Time,X,Y,Z,X_f,Y_f,Z_f,fAmag,Amag,fAmag_norm,Amag_norm,Q3 threshold,Std threshold,HO threshold
0,0,3002645,32,64,64,-25.849033,12.145277,-52.598858,59.85248635893067,96.0,0.3587545481870138,0.005781967693011704,Abnormal data,Abnormal data,Abnormal data
1,1,3002743,-64,96,96,-25.972031,12.371145,-51.784473,59.238697375648925,150.09330431434975,0.35495046200703195,0.009039944130030673,Abnormal data,Abnormal data,Abnormal data
2,2,3002889,-64,32,64,-26.094332,12.423964,-51.15152,58.75157055185776,96.0,0.35193139117201205,0.005781967693011704,Abnormal data,Abnormal data,Abnormal data
3,3,3002986,-32,32,-32,-26.113277,12.476519,-51.047153,58.6803083788889,55.42562584220407,0.35148972888296787,0.003338220604006027,Abnormal data,Abnormal data,Abnormal data
4,4,3003084,128,64,64,-25.620377,12.614525,-50.42337,57.94865141446049,156.76734353812338,0.3469551311259534,0.009441913704757256,Abnormal data,Abnormal data,Abnormal data
5,5,3003181,-96,-96,64,-25.845444,12.324079,-49.804901,57.44909104916437,150.09330431434975,0.34385900080518916,0.009039944130030673,Abnormal data,Abnormal data,Abnormal data
6,6,3003328,0,-64,-160,-25.762939,12.120084,-50.398663,57.8848053833849,172.32527382830412,0.3465594319344124,0.010378949645465102,Abnormal data,Abnormal data,Abnormal data
7,7,3003425,64,-64,0,-25.477163,11.916867,-50.127964,57.47965142908883,90.50966799187809,0.3440484051804584,0.005451291419106819,Abnormal data,Abnormal data,Abnormal data
8,8,3003523,32,-32,32,-25.29443,11.799758,-49.688759,56.99136117731831,55.42562584220407,0.3410221237561021,0.003338220604006027,Abnormal data,Abnormal data,Abnormal data
9,9,3003620,-32,64,128,-25.315704,11.938707,-48.742023,56.206782508697245,146.64242223858687,0.3361595326185874,0.008832101539671774,Abnormal data,Abnormal data,Abnormal data
10,10,3003718,0,32,0,-25.235626,11.992022,-48.482788,55.957360047748,32.0,0.3346136845135904,0.001927322564337235,Abnormal data,Abnormal data,Abnormal data
11,11,3003800,64,64,-32,-25.076683,12.013341,-48.309109,55.73984575363168,96.0,0.3332655939763958,0.005781967693011704,Abnormal data,Abnormal data,Abnormal data
12,12,3004010,128,0,-64,-24.595558,11.981594,-48.391384,55.58980224418555,143.10835055998655,0.3323356678026998,0.008619248536854538,Abnormal data,Abnormal data,Abnormal data
