,time_seconds,time_seconds_delta,Timestamp,Data,X,Y,Z,Gmag,Gmag_norm,Std threshold,Q3 threshold,HO threshold
35,3.286,0.08999999999999986,1900-01-01 18:54:07.232,0000230367 [app] INFO: GYRO: ,-0.505,0.402,0.167,0.6667218310510014,0.0,Normal data,Normal data,Normal data
36,3.377,0.09099999999999975,1900-01-01 18:54:07.323,0000230457 [app] INFO: GYRO: ,-0.505,0.402,0.167,0.6667218310510014,0.0,Normal data,Normal data,Normal data
37,3.465,0.08800000000000008,1900-01-01 18:54:07.411,0000230547 [app] INFO: GYRO: ,-0.505,0.402,0.167,0.6667218310510014,0.0,Normal data,Normal data,Normal data
38,3.601,0.13600000000000012,1900-01-01 18:54:07.547,0000230637 [app] INFO: GYRO: ,-0.505,0.402,0.167,0.6667218310510014,0.0,Normal data,Normal data,Normal data
39,3.688,0.08700000000000019,1900-01-01 18:54:07.634,0000230772 [app] INFO: GYRO: ,-0.505,0.402,0.167,0.6667218310510014,0.0,Normal data,Normal data,Normal data
40,3.779,0.09099999999999975,1900-01-01 18:54:07.725,0000230862 [app] INFO: GYRO: ,-0.505,0.402,0.167,0.6667218310510014,0.0,Normal data,Normal data,Normal data
41,3.869,0.0900000000000003,1900-01-01 18:54:07.815,0000230952 [app] INFO: GYRO: ,-0.505,0.402,0.167,0.6667218310510014,0.0,Normal data,Normal data,Normal data
42,3.959,0.08999999999999986,1900-01-01 18:54:07.905,0000231042 [app] INFO: GYRO: ,-0.505,0.402,0.167,0.6667218310510014,0.0,Normal data,Normal data,Normal data
43,4.052,0.09299999999999953,1900-01-01 18:54:07.998,0000231132 [app] INFO: GYRO: ,-0.505,0.402,0.167,0.6667218310510014,0.0,Normal data,Normal data,Normal data
44,4.141,0.08900000000000041,1900-01-01 18:54:08.087,0000231222 [app] INFO: GYRO: ,-0.505,0.402,0.167,0.6667218310510014,0.0,Normal data,Normal data,Normal data
45,4.231,0.08999999999999986,1900-01-01 18:54:08.177,0000231312 [app] INFO: GYRO: ,-0.505,0.402,0.167,0.6667218310510014,0.0,Normal data,Normal data,Normal data
46,4.412,0.18100000000000005,1900-01-01 18:54:08.358,0000231402 [app] INFO: GYRO: ,-0.505,0.402,0.167,0.6667218310510014,0.0,Normal data,Normal data,Normal data
47,4.593,0.18100000000000005,1900-01-01 18:54:08.539,0000231672 [app] INFO: GYRO: ,-0.505,0.402,0.167,0.6667218310510014,0.0,Normal data,Normal data,Normal data
48,4.681,0.08800000000000008,1900-01-01 18:54:08.627,0000231762 [app] INFO: GYRO: ,-0.505,0.402,0.167,0.6667218310510014,0.0,Normal data,Normal data,Normal data
49,4.771,0.08999999999999986,1900-01-01 18:54:08.717,0000231852 [app] INFO: GYRO: ,-0.505,0.402,0.167,0.6667218310510014,0.0,Normal data,Normal data,Normal data
50,4.919,0.1479999999999997,1900-01-01 18:54:08.865,0000231942 [app] INFO: GYRO: ,-1.333,2.386,-3.402,4.363884622672786,0.5719887639960592,Abnormal data,Abnormal data,Abnormal data
51,5.042,0.12300000000000022,1900-01-01 18:54:08.988,0000232077 [app] INFO: GYRO: ,-1.333,2.386,-3.402,4.363884622672786,0.5719887639960592,Abnormal data,Abnormal data,Abnormal data
52,5.131,0.08900000000000041,1900-01-01 18:54:09.077,0000232212 [app] INFO: GYRO: ,-1.333,2.386,-3.402,4.363884622672786,0.5719887639960592,Abnormal data,Abnormal data,Abnormal data
53,5.219,0.08800000000000008,1900-01-01 18:54:09.165,0000232302 [app] INFO: GYRO: ,-1.333,2.386,-3.402,4.363884622672786,0.5719887639960592,Abnormal data,Abnormal data,Abnormal data
54,5.31,0.0909999999999993,1900-01-01 18:54:09.256,0000232392 [app] INFO: GYRO: ,-1.333,2.386,-3.402,4.363884622672786,0.5719887639960592,Abnormal data,Abnormal data,Abnormal data
55,5.399,0.08900000000000041,1900-01-01 18:54:09.345,0000232482 [app] INFO: GYRO: ,-1.333,2.386,-3.402,4.363884622672786,0.5719887639960592,Abnormal data,Abnormal data,Abnormal data
56,5.492,0.09299999999999997,1900-01-01 18:54:09.438,0000232572 [app] INFO: GYRO: ,-1.333,2.386,-3.402,4.363884622672786,0.5719887639960592,Abnormal data,Abnormal data,Abnormal data
57,5.625,0.133,1900-01-01 18:54:09.571,0000232662 [app] INFO: GYRO: ,-1.333,2.386,-3.402,4.363884622672786,0.5719887639960592,Abnormal data,Abnormal data,Abnormal data
58,5.716,0.09100000000000019,1900-01-01 18:54:09.662,0000232797 [app] INFO: GYRO: ,-1.333,2.386,-3.402,4.363884622672786,0.5719887639960592,Abnormal data,Abnormal data,Abnormal data
59,5.806,0.08999999999999986,1900-01-01 18:54:09.752,0000232887 [app] INFO: GYRO: ,-1.333,2.386,-3.402,4.363884622672786,0.5719887639960592,Abnormal data,Abnormal data,Abnormal data
60,5.943,0.13699999999999957,1900-01-01 18:54:09.889,0000232977 [app] INFO: GYRO: ,-1.333,2.386,-3.402,4.363884622672786,0.5719887639960592,Abnormal data,Abnormal data,Abnormal data
61,6.031,0.08800000000000008,1900-01-01 18:54:09.977,0000233112 [app] INFO: GYRO: ,-1.333,2.386,-3.402,4.363884622672786,0.5719887639960592,Abnormal data,Abnormal data,Abnormal data
62,6.121,0.09000000000000075,1900-01-01 18:54:10.067,0000233202 [app] INFO: GYRO: ,-1.333,2.386,-3.402,4.363884622672786,0.5719887639960592,Abnormal data,Abnormal data,Abnormal data
