,time_seconds,time_seconds_delta,Timestamp,Data,X,Y,Z,Gmag,Gmag_norm,Std threshold,Q3 threshold,HO threshold
0,0.0,0,1900-01-01 18:54:49.306,0000272396 [app] INFO: GYRO: ,-7.311,-2.552,52.319,52.88895145491164,0.9473138102692739,Abnormal data,Abnormal data,Abnormal data
1,0.089,0.089,1900-01-01 18:54:49.395,0000272532 [app] INFO: GYRO: ,-7.311,-2.552,52.319,52.88895145491164,0.9473138102692739,Abnormal data,Abnormal data,Abnormal data
2,0.271,0.18200000000000002,1900-01-01 18:54:49.577,0000272622 [app] INFO: GYRO: ,-7.311,-2.552,52.319,52.88895145491164,0.9473138102692739,Abnormal data,Abnormal data,Abnormal data
3,0.36,0.08899999999999997,1900-01-01 18:54:49.666,0000272802 [app] INFO: GYRO: ,-7.311,-2.552,52.319,52.88895145491164,0.9473138102692739,Abnormal data,Abnormal data,Abnormal data
4,0.497,0.137,1900-01-01 18:54:49.803,0000272892 [app] INFO: GYRO: ,-7.311,-2.552,52.319,52.88895145491164,0.9473138102692739,Abnormal data,Abnormal data,Abnormal data
5,0.631,0.134,1900-01-01 18:54:49.937,0000273028 [app] INFO: GYRO: ,-7.311,-2.552,52.319,52.88895145491164,0.9473138102692739,Abnormal data,Abnormal data,Abnormal data
6,0.719,0.08799999999999997,1900-01-01 18:54:50.025,0000273162 [app] INFO: GYRO: ,-7.311,-2.552,52.319,52.88895145491164,0.9473138102692739,Abnormal data,Abnormal data,Abnormal data
7,0.856,0.137,1900-01-01 18:54:50.162,0000273252 [app] INFO: GYRO: ,-7.311,-2.552,52.319,52.88895145491164,0.9473138102692739,Abnormal data,Abnormal data,Abnormal data
8,0.946,0.08999999999999997,1900-01-01 18:54:50.252,0000273387 [app] INFO: GYRO: ,-7.311,-2.552,52.319,52.88895145491164,0.9473138102692739,Abnormal data,Abnormal data,Abnormal data
9,1.049,0.10299999999999998,1900-01-01 18:54:50.355,0000273477 [app] INFO: GYRO: ,-7.311,-2.552,52.319,52.88895145491164,0.9473138102692739,Abnormal data,Abnormal data,Abnormal data
10,1.126,0.07699999999999996,1900-01-01 18:54:50.432,0000273567 [app] INFO: GYRO: ,-7.311,-2.552,52.319,52.88895145491164,0.9473138102692739,Abnormal data,Abnormal data,Abnormal data
11,1.216,0.09000000000000008,1900-01-01 18:54:50.522,0000273657 [app] INFO: GYRO: ,-7.311,-2.552,52.319,52.88895145491164,0.9473138102692739,Abnormal data,Abnormal data,Abnormal data
12,1.303,0.08699999999999997,1900-01-01 18:54:50.609,0000273747 [app] INFO: GYRO: ,-7.311,-2.552,52.319,52.88895145491164,0.9473138102692739,Abnormal data,Abnormal data,Abnormal data
13,1.44,0.137,1900-01-01 18:54:50.746,0000273837 [app] INFO: GYRO: ,-7.311,-2.552,52.319,52.88895145491164,0.9473138102692739,Abnormal data,Abnormal data,Abnormal data
14,1.573,0.133,1900-01-01 18:54:50.879,0000273972 [app] INFO: GYRO: ,-7.311,-2.552,52.319,52.88895145491164,0.9473138102692739,Abnormal data,Abnormal data,Abnormal data
15,1.756,0.18300000000000005,1900-01-01 18:54:51.062,0000274107 [app] INFO: GYRO: ,-7.311,-2.552,52.319,52.88895145491164,0.9473138102692739,Abnormal data,Abnormal data,Abnormal data
16,1.98,0.22399999999999998,1900-01-01 18:54:51.286,0000274287 [app] INFO: GYRO: ,-7.311,-2.552,52.319,52.88895145491164,0.9473138102692739,Abnormal data,Abnormal data,Abnormal data
17,2.072,0.09200000000000008,1900-01-01 18:54:51.378,0000274512 [app] INFO: GYRO: ,-7.311,-2.552,52.319,52.88895145491164,0.9473138102692739,Abnormal data,Abnormal data,Abnormal data
18,2.158,0.08599999999999985,1900-01-01 18:54:51.464,0000274602 [app] INFO: GYRO: ,-7.311,-2.552,52.319,52.88895145491164,0.9473138102692739,Abnormal data,Abnormal data,Abnormal data
19,2.252,0.09399999999999986,1900-01-01 18:54:51.558,0000274692 [app] INFO: GYRO: ,-7.311,-2.552,52.319,52.88895145491164,0.9473138102692739,Abnormal data,Abnormal data,Abnormal data
20,2.338,0.0860000000000003,1900-01-01 18:54:51.644,0000274782 [app] INFO: GYRO: ,-7.311,-2.552,52.319,52.88895145491164,0.9473138102692739,Abnormal data,Abnormal data,Abnormal data
21,2.433,0.09499999999999975,1900-01-01 18:54:51.739,0000274872 [app] INFO: GYRO: ,-7.311,-2.552,52.319,52.88895145491164,0.9473138102692739,Abnormal data,Abnormal data,Abnormal data
