,time_seconds,time_seconds_delta,Timestamp,Data,X,Y,Z,Gmag,Gmag_norm,Q3 threshold,Std threshold,HO threshold
29,68146.503,0.08999999999650754,18:55:46:503,0000329636 [app] INFO: GYRO: ,0.351,0.059,-0.273,0.4485654913164855,0.01715244082630356,Normal data,Normal data,Normal data
30,68146.636,0.13300000000162981,18:55:46:636,0000329726 [app] INFO: GYRO: ,0.351,0.059,-0.273,0.4485654913164855,0.01715244082630356,Normal data,Normal data,Normal data
31,68146.771,0.1349999999947613,18:55:46:771,0000329861 [app] INFO: GYRO: ,0.351,0.059,-0.273,0.4485654913164855,0.01715244082630356,Normal data,Normal data,Normal data
32,68146.86,0.08900000000721775,18:55:46:860,0000329996 [app] INFO: GYRO: ,0.351,0.059,-0.273,0.4485654913164855,0.01715244082630356,Normal data,Normal data,Normal data
33,68146.951,0.09100000000034925,18:55:46:951,0000330086 [app] INFO: GYRO: ,0.351,0.059,-0.273,0.4485654913164855,0.01715244082630356,Normal data,Normal data,Normal data
34,68147.039,0.08800000000337604,18:55:47:039,0000330176 [app] INFO: GYRO: ,0.351,0.059,-0.273,0.4485654913164855,0.01715244082630356,Normal data,Normal data,Normal data
35,68147.132,0.09299999999348074,18:55:47:132,0000330266 [app] INFO: GYRO: ,0.351,0.059,-0.273,0.4485654913164855,0.01715244082630356,Normal data,Normal data,Normal data
36,68147.221,0.08900000000721775,18:55:47:221,0000330356 [app] INFO: GYRO: ,0.351,0.059,-0.273,0.4485654913164855,0.01715244082630356,Normal data,Normal data,Normal data
37,68147.312,0.09100000000034925,18:55:47:312,0000330446 [app] INFO: GYRO: ,0.351,0.059,-0.273,0.4485654913164855,0.01715244082630356,Normal data,Normal data,Normal data
38,68147.624,0.3119999999908032,18:55:47:624,0000330761 [app] INFO: GYRO: ,0.351,0.059,-0.273,0.4485654913164855,0.01715244082630356,Normal data,Normal data,Normal data
39,68147.717,0.09300000000803266,18:55:47:717,0000330851 [app] INFO: GYRO: ,0.351,0.059,-0.273,0.4485654913164855,0.01715244082630356,Normal data,Normal data,Normal data
40,68147.805,0.08799999998882413,18:55:47:805,0000330941 [app] INFO: GYRO: ,0.351,0.059,-0.273,0.4485654913164855,0.01715244082630356,Normal data,Normal data,Normal data
41,68147.897,0.09200000000419095,18:55:47:897,0000331031 [app] INFO: GYRO: ,0.351,0.059,-0.273,0.4485654913164855,0.01715244082630356,Normal data,Normal data,Normal data
42,68147.986,0.08900000000721775,18:55:47:986,0000331121 [app] INFO: GYRO: ,0.351,0.059,-0.273,0.4485654913164855,0.01715244082630356,Normal data,Normal data,Normal data
43,68148.075,0.08899999999266583,18:55:48:075,0000331211 [app] INFO: GYRO: ,0.351,0.059,-0.273,0.4485654913164855,0.01715244082630356,Normal data,Normal data,Normal data
44,68148.214,0.13900000001012813,18:55:48:214,0000331301 [app] INFO: GYRO: ,0.351,0.059,-0.273,0.4485654913164855,0.01715244082630356,Normal data,Normal data,Normal data
45,68148.302,0.08799999998882413,18:55:48:302,0000331436 [app] INFO: GYRO: ,0.351,0.059,-0.273,0.4485654913164855,0.01715244082630356,Normal data,Normal data,Normal data
46,68148.393,0.09100000000034925,18:55:48:393,0000331526 [app] INFO: GYRO: ,0.351,0.059,-0.273,0.4485654913164855,0.01715244082630356,Normal data,Normal data,Normal data
47,68148.48,0.08699999999953434,18:55:48:480,0000331616 [app] INFO: GYRO: ,0.351,0.059,-0.273,0.4485654913164855,0.01715244082630356,Normal data,Normal data,Normal data
48,68148.575,0.09500000000116415,18:55:48:575,0000331706 [app] INFO: GYRO: ,0.351,0.059,-0.273,0.4485654913164855,0.01715244082630356,Normal data,Normal data,Normal data
