,time_seconds,time_seconds_delta,Timestamp,Data,X,Y,Z,Gmag,Gmag_norm,Q3 threshold,Std threshold,HO threshold
0,68196.812,0.0,18:56:36:812,0000379945 [app] INFO: GYRO: ,0.066,0.027,0.901,0.9038174594463199,0.0,Normal data,Normal data,Normal data
1,68196.902,0.08999999999650754,18:56:36:902,0000380036 [app] INFO: GYRO: ,0.066,0.027,0.901,0.9038174594463199,0.0,Normal data,Normal data,Normal data
2,68196.992,0.08999999999650754,18:56:36:992,0000380126 [app] INFO: GYRO: ,0.066,0.027,0.901,0.9038174594463199,0.0,Normal data,Normal data,Normal data
3,68197.082,0.08999999999650754,18:56:37:082,0000380216 [app] INFO: GYRO: ,0.066,0.027,0.901,0.9038174594463199,0.0,Normal data,Normal data,Normal data
4,68197.171,0.08900000000721775,18:56:37:171,0000380306 [app] INFO: GYRO: ,0.066,0.027,0.901,0.9038174594463199,0.0,Normal data,Normal data,Normal data
5,68197.262,0.09100000000034925,18:56:37:262,0000380396 [app] INFO: GYRO: ,0.066,0.027,0.901,0.9038174594463199,0.0,Normal data,Normal data,Normal data
6,68197.397,0.1349999999947613,18:56:37:397,0000380486 [app] INFO: GYRO: ,0.066,0.027,0.901,0.9038174594463199,0.0,Normal data,Normal data,Normal data
7,68197.485,0.08800000000337604,18:56:37:485,0000380621 [app] INFO: GYRO: ,0.066,0.027,0.901,0.9038174594463199,0.0,Normal data,Normal data,Normal data
8,68197.577,0.09200000000419095,18:56:37:577,0000380711 [app] INFO: GYRO: ,0.066,0.027,0.901,0.9038174594463199,0.0,Normal data,Normal data,Normal data
9,68197.665,0.08799999998882413,18:56:37:665,0000380801 [app] INFO: GYRO: ,0.066,0.027,0.901,0.9038174594463199,0.0,Normal data,Normal data,Normal data
10,68197.758,0.09300000000803266,18:56:37:758,0000380891 [app] INFO: GYRO: ,0.066,0.027,0.901,0.9038174594463199,0.0,Normal data,Normal data,Normal data
11,68197.849,0.09100000000034925,18:56:37:849,0000380981 [app] INFO: GYRO: ,0.066,0.027,0.901,0.9038174594463199,0.0,Normal data,Normal data,Normal data
12,68197.936,0.08699999999953434,18:56:37:936,0000381071 [app] INFO: GYRO: ,0.066,0.027,0.901,0.9038174594463199,0.0,Normal data,Normal data,Normal data
