,Timestamp,Data,X,Y,Z
75,18:54:11:417,0000234462 [app] INFO: GYRO: ,-1.333,2.386,-3.402
76,18:54:11:509,0000234642 [app] INFO: GYRO: ,-1.333,2.386,-3.402
77,18:54:11:594,0000234732 [app] INFO: GYRO: ,-1.333,2.386,-3.402
78,18:54:11:686,0000234822 [app] INFO: GYRO: ,-1.333,2.386,-3.402
79,18:54:11:775,0000234912 [app] INFO: GYRO: ,-1.333,2.386,-3.402
80,18:54:11:867,0000235002 [app] INFO: GYRO: ,-1.333,2.386,-3.402
81,18:54:11:955,0000235092 [app] INFO: GYRO: ,-1.333,2.386,-3.402
82,18:54:12:047,0000235182 [app] INFO: GYRO: ,-1.333,2.386,-3.402
83,18:54:12:136,0000235272 [app] INFO: GYRO: ,-1.333,2.386,-3.402
84,18:54:12:224,0000235362 [app] INFO: GYRO: ,-1.333,2.386,-3.402
85,18:54:12:360,0000235452 [app] INFO: GYRO: ,-1.333,2.386,-3.402
86,18:54:12:450,0000235587 [app] INFO: GYRO: ,-1.333,2.386,-3.402
87,18:54:12:540,0000235677 [app] INFO: GYRO: ,-1.333,2.386,-3.402
88,18:54:12:720,0000235767 [app] INFO: GYRO: ,-1.333,2.386,-3.402
89,18:54:12:809,0000235947 [app] INFO: GYRO: ,-1.333,2.386,-3.402
90,18:54:12:900,0000236037 [app] INFO: GYRO: ,-1.333,2.386,-3.402
91,18:54:12:989,0000236127 [app] INFO: GYRO: ,-1.333,2.386,-3.402
92,18:54:13:079,0000236217 [app] INFO: GYRO: ,-1.333,2.386,-3.402
93,18:54:13:215,0000236307 [app] INFO: GYRO: ,-1.333,2.386,-3.402
94,18:54:13:307,0000236442 [app] INFO: GYRO: ,-1.333,2.386,-3.402
95,18:54:13:491,0000236532 [app] INFO: GYRO: ,-1.333,2.386,-3.402
96,18:54:13:669,0000236712 [app] INFO: GYRO: ,-1.333,2.386,-3.402
97,18:54:13:847,0000236892 [app] INFO: GYRO: ,-1.333,2.386,-3.402
98,18:54:13:982,0000237072 [app] INFO: GYRO: ,3.959,5.661,-1.767
99,18:54:14:119,0000237252 [app] INFO: GYRO: ,3.959,5.661,-1.767
100,18:54:14:209,0000237342 [app] INFO: GYRO: ,3.959,5.661,-1.767
101,18:54:14:346,0000237432 [app] INFO: GYRO: ,3.959,5.661,-1.767
102,18:54:14:431,0000237567 [app] INFO: GYRO: ,3.959,5.661,-1.767
103,18:54:14:524,0000237657 [app] INFO: GYRO: ,3.959,5.661,-1.767
104,18:54:14:611,0000237747 [app] INFO: GYRO: ,3.959,5.661,-1.767
105,18:54:14:750,0000237837 [app] INFO: GYRO: ,3.959,5.661,-1.767
106,18:54:14:835,0000237972 [app] INFO: GYRO: ,3.959,5.661,-1.767
107,18:54:14:973,0000238107 [app] INFO: GYRO: ,3.959,5.661,-1.767
108,18:54:15:109,0000238197 [app] INFO: GYRO: ,3.959,5.661,-1.767
109,18:54:15:197,0000238332 [app] INFO: GYRO: ,3.959,5.661,-1.767
110,18:54:15:285,0000238422 [app] INFO: GYRO: ,3.959,5.661,-1.767
111,18:54:15:466,0000238512 [app] INFO: GYRO: ,3.959,5.661,-1.767
112,18:54:15:555,0000238692 [app] INFO: GYRO: ,3.959,5.661,-1.767
113,18:54:15:694,0000238782 [app] INFO: GYRO: ,3.959,5.661,-1.767
114,18:54:15:783,0000238917 [app] INFO: GYRO: ,3.959,5.661,-1.767
115,18:54:15:871,0000239008 [app] INFO: GYRO: ,3.959,5.661,-1.767
116,18:54:15:964,0000239097 [app] INFO: GYRO: ,3.959,5.661,-1.767
117,18:54:16:143,0000239187 [app] INFO: GYRO: ,3.959,5.661,-1.767
118,18:54:16:234,0000239367 [app] INFO: GYRO: ,3.959,5.661,-1.767
119,18:54:16:324,0000239457 [app] INFO: GYRO: ,3.959,5.661,-1.767
120,18:54:16:457,0000239547 [app] INFO: GYRO: ,3.959,5.661,-1.767
121,18:54:16:548,0000239682 [app] INFO: GYRO: ,3.959,5.661,-1.767
122,18:54:16:640,0000239772 [app] INFO: GYRO: ,3.959,5.661,-1.767
123,18:54:16:773,0000239862 [app] INFO: GYRO: ,3.959,5.661,-1.767
124,18:54:16:908,0000239997 [app] INFO: GYRO: ,3.959,5.661,-1.767
125,18:54:17:090,0000240132 [app] INFO: GYRO: ,3.959,5.661,-1.767
126,18:54:17:179,0000240312 [app] INFO: GYRO: ,3.959,5.661,-1.767
127,18:54:17:358,0000240492 [app] INFO: GYRO: ,3.959,5.661,-1.767
128,18:54:17:492,0000240582 [app] INFO: GYRO: ,3.959,5.661,-1.767
129,18:54:17:584,0000240717 [app] INFO: GYRO: ,3.959,5.661,-1.767
130,18:54:17:670,0000240807 [app] INFO: GYRO: ,3.959,5.661,-1.767
131,18:54:17:761,0000240898 [app] INFO: GYRO: ,3.959,5.661,-1.767
132,18:54:17:852,0000240987 [app] INFO: GYRO: ,3.959,5.661,-1.767
133,18:54:17:940,0000241077 [app] INFO: GYRO: ,3.959,5.661,-1.767
134,18:54:18:031,0000241167 [app] INFO: GYRO: ,3.959,5.661,-1.767
135,18:54:18:122,0000241257 [app] INFO: GYRO: ,3.959,5.661,-1.767
136,18:54:18:213,0000241347 [app] INFO: GYRO: ,3.959,5.661,-1.767
137,18:54:18:300,0000241437 [app] INFO: GYRO: ,3.959,5.661,-1.767
138,18:54:18:389,0000241527 [app] INFO: GYRO: ,3.959,5.661,-1.767
139,18:54:18:483,0000241617 [app] INFO: GYRO: ,3.959,5.661,-1.767
140,18:54:18:572,0000241707 [app] INFO: GYRO: ,3.959,5.661,-1.767
141,18:54:18:706,0000241797 [app] INFO: GYRO: ,3.959,5.661,-1.767
142,18:54:18:802,0000241965 [app] INFO: GYRO: ,3.959,5.661,-1.767
143,18:54:18:893,0000242022 [app] INFO: GYRO: ,3.959,5.661,-1.767
144,18:54:18:981,0000242112 [app] INFO: GYRO: ,3.959,5.661,-1.767
145,18:54:19:069,0000242202 [app] INFO: GYRO: ,3.959,5.661,-1.767
146,18:54:19:248,0000242292 [app] INFO: GYRO: ,3.959,5.661,-1.767
147,18:54:19:334,0000242472 [app] INFO: GYRO: ,3.959,5.661,-1.767
148,18:54:19:427,0000242562 [app] INFO: GYRO: ,3.959,5.661,-1.767
149,18:54:19:517,0000242652 [app] INFO: GYRO: ,3.959,5.661,-1.767
150,18:54:19:606,0000242742 [app] INFO: GYRO: ,3.959,5.661,-1.767
151,18:54:19:700,0000242832 [app] INFO: GYRO: ,3.959,5.661,-1.767
152,18:54:19:787,0000242922 [app] INFO: GYRO: ,3.959,5.661,-1.767
153,18:54:19:923,0000243013 [app] INFO: GYRO: ,3.959,5.661,-1.767
154,18:54:20:011,0000243147 [app] INFO: GYRO: ,3.959,5.661,-1.767
155,18:54:20:099,0000243237 [app] INFO: GYRO: ,3.959,5.661,-1.767
156,18:54:20:193,0000243327 [app] INFO: GYRO: ,3.959,5.661,-1.767
157,18:54:20:328,0000243417 [app] INFO: GYRO: ,3.959,5.661,-1.767
158,18:54:20:418,0000243552 [app] INFO: GYRO: ,3.959,5.661,-1.767
159,18:54:20:550,0000243642 [app] INFO: GYRO: ,3.959,5.661,-1.767
160,18:54:20:955,0000243777 [app] INFO: GYRO: ,3.959,5.661,-1.767
161,18:54:21:049,0000244182 [app] INFO: GYRO: ,3.959,5.661,-1.767
162,18:54:21:139,0000244272 [app] INFO: GYRO: ,3.959,5.661,-1.767
163,18:54:21:227,0000244362 [app] INFO: GYRO: ,3.959,5.661,-1.767
164,18:54:21:363,0000244452 [app] INFO: GYRO: ,3.959,5.661,-1.767
165,18:54:21:540,0000244587 [app] INFO: GYRO: ,3.959,5.661,-1.767
166,18:54:21:765,0000244767 [app] INFO: GYRO: ,3.959,5.661,-1.767
