Timestamp,Mode,Data,X,Y,Z
18:54:11:145,RX,0000234282 [app] INFO: GYRO: ,-1.333,2.386,-3.402
18:54:11:239,RX,0000234372 [app] INFO: GYRO: ,-1.333,2.386,-3.402
18:54:11:417,RX,0000234462 [app] INFO: GYRO: ,-1.333,2.386,-3.402
18:54:11:509,RX,0000234642 [app] INFO: GYRO: ,-1.333,2.386,-3.402
18:54:11:594,RX,0000234732 [app] INFO: GYRO: ,-1.333,2.386,-3.402
18:54:11:686,RX,0000234822 [app] INFO: GYRO: ,-1.333,2.386,-3.402
18:54:11:775,RX,0000234912 [app] INFO: GYRO: ,-1.333,2.386,-3.402
18:54:11:867,RX,0000235002 [app] INFO: GYRO: ,-1.333,2.386,-3.402
18:54:11:955,RX,0000235092 [app] INFO: GYRO: ,-1.333,2.386,-3.402
18:54:12:047,RX,0000235182 [app] INFO: GYRO: ,-1.333,2.386,-3.402
18:54:12:136,RX,0000235272 [app] INFO: GYRO: ,-1.333,2.386,-3.402
18:54:12:224,RX,0000235362 [app] INFO: GYRO: ,-1.333,2.386,-3.402
18:54:12:360,RX,0000235452 [app] INFO: GYRO: ,-1.333,2.386,-3.402
18:54:12:450,RX,0000235587 [app] INFO: GYRO: ,-1.333,2.386,-3.402
18:54:12:540,RX,0000235677 [app] INFO: GYRO: ,-1.333,2.386,-3.402
18:54:12:720,RX,0000235767 [app] INFO: GYRO: ,-1.333,2.386,-3.402
18:54:12:809,RX,0000235947 [app] INFO: GYRO: ,-1.333,2.386,-3.402
18:54:12:900,RX,0000236037 [app] INFO: GYRO: ,-1.333,2.386,-3.402
18:54:12:989,RX,0000236127 [app] INFO: GYRO: ,-1.333,2.386,-3.402
18:54:13:079,RX,0000236217 [app] INFO: GYRO: ,-1.333,2.386,-3.402
18:54:13:215,RX,0000236307 [app] INFO: GYRO: ,-1.333,2.386,-3.402
18:54:13:307,RX,0000236442 [app] INFO: GYRO: ,-1.333,2.386,-3.402
18:54:13:491,RX,0000236532 [app] INFO: GYRO: ,-1.333,2.386,-3.402
