Timestamp,Mode,Data,X,Y,Z
18:55:43:665,RX,0000326756 [app] INFO: GYRO: ,-4.695,-0.52,19.148
18:55:43:800,RX,0000326898 [app] INFO: GYRO: ,-4.695,-0.52,19.148
18:55:43:891,RX,0000327026 [app] INFO: GYRO: ,-4.695,-0.52,19.148
18:55:44:027,RX,0000327116 [app] INFO: GYRO: ,-4.695,-0.52,19.148
18:55:44:117,RX,0000327251 [app] INFO: GYRO: ,-4.695,-0.52,19.148
18:55:44:212,RX,0000327341 [app] INFO: GYRO: ,-4.695,-0.52,19.148
18:55:44:297,RX,0000327431 [app] INFO: GYRO: ,-4.695,-0.52,19.148
18:55:44:385,RX,0000327521 [app] INFO: GYRO: ,-4.695,-0.52,19.148
18:55:44:476,RX,0000327611 [app] INFO: GYRO: ,-4.695,-0.52,19.148
18:55:44:569,RX,0000327701 [app] INFO: GYRO: ,-4.695,-0.52,19.148
18:55:44:658,RX,0000327791 [app] INFO: GYRO: ,-4.695,-0.52,19.148
18:55:44:790,RX,0000327881 [app] INFO: GYRO: ,-4.695,-0.52,19.148
18:55:44:928,RX,0000328016 [app] INFO: GYRO: ,0.351,0.059,-0.273
18:55:45:015,RX,0000328151 [app] INFO: GYRO: ,0.351,0.059,-0.273
18:55:45:106,RX,0000328241 [app] INFO: GYRO: ,0.351,0.059,-0.273
18:55:45:195,RX,0000328331 [app] INFO: GYRO: ,0.351,0.059,-0.273
18:55:45:332,RX,0000328421 [app] INFO: GYRO: ,0.351,0.059,-0.273
18:55:45:419,RX,0000328556 [app] INFO: GYRO: ,0.351,0.059,-0.273
18:55:45:514,RX,0000328646 [app] INFO: GYRO: ,0.351,0.059,-0.273
18:55:45:601,RX,0000328736 [app] INFO: GYRO: ,0.351,0.059,-0.273
18:55:45:691,RX,0000328826 [app] INFO: GYRO: ,0.351,0.059,-0.273
18:55:45:780,RX,0000328916 [app] INFO: GYRO: ,0.351,0.059,-0.273
18:55:45:869,RX,0000329007 [app] INFO: GYRO: ,0.351,0.059,-0.273
18:55:45:959,RX,0000329096 [app] INFO: GYRO: ,0.351,0.059,-0.273
18:55:46:052,RX,0000329186 [app] INFO: GYRO: ,0.351,0.059,-0.273
18:55:46:149,RX,0000329276 [app] INFO: GYRO: ,0.351,0.059,-0.273
18:55:46:230,RX,0000329366 [app] INFO: GYRO: ,0.351,0.059,-0.273
18:55:46:322,RX,0000329456 [app] INFO: GYRO: ,0.351,0.059,-0.273
18:55:46:413,RX,0000329546 [app] INFO: GYRO: ,0.351,0.059,-0.273
18:55:46:503,RX,0000329636 [app] INFO: GYRO: ,0.351,0.059,-0.273
