,Time,X,Y,Z,X_f,Y_f,Z_f
109,2929148,-32,32,32,-0.760057,-0.528177,2.906288
110,2929245,0,64,96,-0.75903,-0.461416,3.095087
111,2929343,-64,-96,-32,-0.844379,-0.560286,3.023924
112,2929440,64,32,0,-0.756873,-0.526561,3.017801
113,2929538,32,64,96,-0.712671,-0.459752,3.205723
114,2929635,-128,0,32,-0.884314,-0.459276,3.263908
115,2929733,-96,32,64,-1.012727,-0.425695,3.386461
116,2929830,64,0,0,-0.924907,-0.425255,3.379634
117,2929928,-32,64,-160,-0.966881,-0.358696,3.050871
118,2930025,32,0,128,-0.922384,-0.358326,3.302615
119,2930123,64,64,32,-0.834815,-0.291888,3.360461
120,2930220,0,-64,0,-0.833689,-0.357671,3.353697
121,2930513,-64,-32,32,-0.830439,-0.356586,3.013302
122,2930610,-32,0,-32,-0.872362,-0.356219,2.943067
123,2930708,-32,0,0,-0.914198,-0.355852,2.937171
124,2930805,32,64,-32,-0.869992,-0.28964,2.867316
125,2930903,64,96,-64,-0.782928,-0.190547,2.733792
126,2931000,96,32,64,-0.653038,-0.15739,2.856051
127,2931098,0,-64,32,-0.652161,-0.223124,2.914163
128,2931195,-64,0,0,-0.737116,-0.222894,2.908361
129,2931293,-32,0,32,-0.779039,-0.222665,2.966176
130,2931439,32,32,-64,-0.735114,-0.189547,2.833278
131,2931537,0,0,128,-0.73413,-0.189353,3.081517
132,2931634,-96,-32,0,-0.861532,-0.222001,3.075402
133,2931732,32,0,0,-0.81756,-0.221773,3.069311
134,2931829,-32,-96,96,-0.859257,-0.319935,3.253006
135,2931927,0,-32,32,-0.858109,-0.352432,3.309823
136,2932024,32,64,0,-0.814261,-0.286445,3.30329
137,2932122,32,0,0,-0.770501,-0.286152,3.296783
138,2932219,96,0,128,-0.641539,-0.285858,3.541972
139,2932317,-32,0,-64,-0.683354,-0.285566,3.409103
140,2932414,-192,-448,96,-0.938286,-0.743367,3.591136
141,2932512,224,64,64,-0.637808,-0.676641,3.709884
142,2932609,320,-480,-128,-0.208142,-1.170772,3.451171
143,2932707,96,-32,32,-0.078567,-1.202825,3.507286
144,2932804,0,96,64,-0.078461,-1.101807,3.626023
145,2932902,-64,-640,192,-0.164485,-1.766382,3.99549
146,2932999,-480,-160,160,-0.810192,-1.932903,4.302019
147,2933097,192,288,-64,-0.548596,-1.627143,4.16766
148,2933194,96,-256,-288,-0.417277,-1.896672,3.593277
149,2933292,64,256,128,-0.329611,-1.622311,3.838796
150,2933389,192,96,32,-0.067888,-1.518032,3.894402
151,2933487,-192,-544,352,-0.329717,-2.098014,4.580777
152,2933633,3872,6272,-4832,4.965844,4.675242,-5.003087
153,2933730,-2624,-9088,2720,1.097893,-6.359165,0.906087
154,2933828,0,-6976,-9024,1.096196,-16.340967,-19.683949
155,2933925,-12096,13824,-2784,-17.580429,6.207171,-27.108997
156,2934023,3264,1472,-2368,-11.300284,9.249871,-33.725582
157,2934120,-2976,2208,-288,-17.334066,13.937836,-34.475723
158,2934218,768,1088,-192,-15.644619,16.323242,-34.941422
159,2934316,128,576,-96,-15.331435,17.590067,-35.121967
160,2934413,-448,-32,416,-16.275415,17.476824,-33.790356
162,2934754,-1888,1824,1312,-20.456379,20.590296,-29.413603
163,2934852,1248,-3072,-5984,-17.57132,13.2675,-47.478916
164,2934949,384,-416,160,-16.636969,12.190896,-46.776878
165,2935047,0,416,-1088,-16.59804,13.209767,-50.30267
166,2935144,288,224,-160,-15.886727,13.744558,-50.680557
167,2935242,-352,-64,-96,-16.674566,13.546987,-50.836479
168,2935339,-32,256,0,-16.710646,14.162523,-50.662018
169,2935437,0,192,-160,-16.671387,14.615049,-51.036339
170,2935534,-128,-96,64,-16.932411,14.333296,-50.642998
171,2935632,64,160,-64,-16.742678,14.704205,-50.688618
172,2935729,-224,-192,0,-17.228207,14.177688,-50.516037
173,2935827,-288,-224,-32,-17.863663,13.570047,-50.453144
174,2935924,-192,-224,160,-18.273577,12.962627,-49.740479
175,2936022,0,-32,-128,-18.230513,12.847417,-50.005707
176,2936119,160,256,-192,-17.811327,13.469429,-50.486057
177,2936217,384,256,736,-16.865158,14.091269,-47.826923
178,2936314,96,-320,128,-16.597887,13.232728,-47.225163
179,2936460,160,-1536,224,-16.179741,9.235282,-46.296829
180,2936558,-64,-704,448,-16.2931,7.342951,-44.601635
181,2936704,1312,-1856,-416,-13.148808,2.34213,-45.883499
182,2936802,32,608,1280,-13.039359,4.023484,-41.289257
183,2936899,-544,-512,-1280,-14.324538,2.577672,-45.679646
184,2936997,-640,-320,-1344,-15.85132,1.667113,-50.378246
