Time,X,Y,Z,X_f,Y_f,Z_f
3013955,64,64,0,-19.124279,9.978198,-32.999249
3014053,0,32,32,-19.074745,10.028109,-32.75539
3014150,-32,-32,-128,-19.108149,9.93303,-33.111847
3014248,-32,-32,64,-19.14139,9.838302,-32.749069
3014345,32,-32,32,-19.009832,9.743921,-32.507622
3014443,0,32,-64,-18.961006,9.794056,-32.624771
3014540,-32,0,-128,-18.994423,9.772033,-32.978466
3018496,-96,-32,64,-3.072146,0.305121,1.008023
3018545,-32,-32,32,-3.114052,0.268404,1.072766
3018691,32,0,0,-3.063229,0.268099,1.070529
3018789,32,-32,0,-3.012517,0.231484,1.0683
3018935,-32,0,96,-3.05441,0.231221,1.265511
3019033,0,-64,-32,-3.049999,0.158454,1.196418
3019130,-64,-32,32,-3.137888,0.122016,1.260307
3019277,-64,-32,32,-3.22563,0.085638,1.323971
3019374,-64,64,160,-3.313225,0.157986,1.652122
3019520,0,32,-32,-3.308451,0.194035,1.582452
3019618,32,96,64,-3.257641,0.302445,1.711496
3019715,32,-64,0,-3.206942,0.229626,1.70796
3019813,-32,0,64,-3.248315,0.229366,1.836378
3019910,0,0,64,-3.243652,0.229106,1.964427
3020008,32,-32,-32,-3.193122,0.192685,1.894522
3020154,32,-128,-128,-3.142703,0.04789,1.627544
3020252,-64,-32,-32,-3.229827,0.01164,1.55839
3020349,64,0,0,-3.1336,0.011626,1.55519
3020447,-768,-320,-320,-4.228265,-0.349762,0.896174
3020544,736,-960,-192,-3.154217,-1.439191,0.499117
3020642,352,0,416,-2.632039,-1.437528,1.355913
3020739,768,512,96,-1.492629,-0.844823,1.55229
3020837,448,-128,128,-0.818805,-0.992944,1.814607
3020934,0,-32,256,-0.817568,-1.029113,2.342155
3021032,512,0,160,-0.044231,-1.027913,2.670344
3021129,288,288,128,0.393932,-0.691337,2.931514
3021275,-160,288,160,0.148915,-0.353605,3.25896
3021373,-64,-224,-448,0.050758,-0.616444,2.31722
3021519,-32,0,192,0.001728,-0.615717,2.715806
3021617,-96,384,32,-0.145002,-0.162742,2.777445
3021714,-160,2144,1504,-0.38942,2.378921,5.932515
3021812,-3712,2240,5920,-6.0739,5.141698,18.707447
3021909,-480,-2112,-224,-6.852336,2.414211,18.122578
3022104,-96,-32,-192,-6.671624,2.664673,16.798016
3022202,-224,-320,64,-7.032256,2.230917,16.912729
3022299,64,160,0,-6.914071,2.444085,16.871687
3022445,-64,-480,320,-7.009028,1.791064,17.605749
3022543,1184,544,-1728,-5.028916,2.531051,13.363259
3022640,-960,-992,832,-6.65166,1.160923,15.417154
3022738,-1056,736,-1344,-8.465692,2.191971,11.959458
3022835,1152,96,160,-6.421076,2.325337,12.345231
3022933,-320,-32,32,-6.985374,2.276515,12.396466
3023079,160,288,-128,-6.683539,2.682609,12.031295
3023177,0,-160,128,-6.67144,2.450402,12.33299
3023323,-160,-192,128,-6.948547,2.172345,12.633814
3023420,96,-64,0,-6.762258,2.077489,12.600965
3023518,-256,64,128,-7.213374,2.166243,12.900302
3023615,128,-192,96,-6.967866,1.887998,13.115793
3023713,64,-64,0,-6.838896,1.793348,13.081814
3023810,352,192,-128,-6.187038,2.066551,12.717155
3023908,1152,-96,-192,-4.071873,1.925361,12.187896
3024054,1184,1056,-960,-1.85601,3.443739,9.67072
3024152,-2112,-96,544,-5.877458,3.297687,11.077385
3024249,64,992,608,-5.738943,4.750536,12.66141
3024347,-128,-128,480,-5.981154,4.551907,13.91301
3024444,480,-320,192,-5.017936,4.065731,14.393112
3024542,96,160,64,-4.816175,4.300481,14.526961
3024639,672,-64,-512,-3.464362,4.197494,13.108713
3024737,-64,-64,32,-3.586659,4.094676,13.159995
3024834,0,-96,-32,-3.579419,3.943791,13.037691
3024932,-160,-160,128,-3.89456,3.696536,13.348475
3025029,64,0,128,-3.757622,3.690952,13.658293
3025127,-64,288,-96,-3.879046,4.119876,13.362091
3025224,192,128,64,-3.484553,4.307547,13.4988
3025370,32,-320,64,-3.412954,3.815771,13.634911
3025468,-192,-64,800,-3.792981,3.712427,15.750751
3025565,64,-640,736,-3.656131,2.731642,17.713812
3025663,0,-224,256,-3.648756,2.382276,18.370806
3025760,-288,64,544,-4.221267,2.477504,19.822937
3025858,-480,-32,704,-5.182698,2.424237,21.727634
3025955,-288,64,-128,-5.758465,2.519289,21.30629
3026053,0,-192,64,-5.7467,2.219111,21.426455
3026150,352,96,64,-5.017172,2.36417,21.546045
3026248,-128,-32,128,-5.269239,2.310999,21.844496
