Timestamp,Mode,Data,X,Y,Z
18:53:24:751,RX,0000187888 [app] INFO: GYRO: ,7.016,0.871,-2.113
18:53:24:841,RX,0000187977 [app] INFO: GYRO: ,7.016,0.871,-2.113
18:53:24:930,RX,0000188067 [app] INFO: GYRO: ,7.016,0.871,-2.113
18:53:25:023,RX,0000188157 [app] INFO: GYRO: ,7.016,0.871,-2.113
18:53:25:113,RX,0000188247 [app] INFO: GYRO: ,7.016,0.871,-2.113
18:53:25:201,RX,0000188337 [app] INFO: GYRO: ,7.016,0.871,-2.113
18:53:25:292,RX,0000188427 [app] INFO: GYRO: ,7.016,0.871,-2.113
18:53:25:383,RX,0000188517 [app] INFO: GYRO: ,7.016,0.871,-2.113
18:53:25:471,RX,0000188607 [app] INFO: GYRO: ,7.016,0.871,-2.113
18:53:25:559,RX,0000188697 [app] INFO: GYRO: ,7.016,0.871,-2.113
18:53:25:652,RX,0000188787 [app] INFO: GYRO: ,7.016,0.871,-2.113
18:53:25:792,RX,0000188877 [app] INFO: GYRO: ,7.016,0.871,-2.113
18:53:25:875,RX,0000189012 [app] INFO: GYRO: ,7.016,0.871,-2.113
18:53:25:967,RX,0000189102 [app] INFO: GYRO: ,7.016,0.871,-2.113
18:53:26:054,RX,0000189192 [app] INFO: GYRO: ,7.016,0.871,-2.113
18:53:26:150,RX,0000189282 [app] INFO: GYRO: ,7.016,0.871,-2.113
18:53:26:238,RX,0000189372 [app] INFO: GYRO: ,7.016,0.871,-2.113
18:53:26:327,RX,0000189462 [app] INFO: GYRO: ,7.016,0.871,-2.113
18:53:26:416,RX,0000189552 [app] INFO: GYRO: ,7.016,0.871,-2.113
18:53:26:508,RX,0000189642 [app] INFO: GYRO: ,7.016,0.871,-2.113
18:53:26:596,RX,0000189732 [app] INFO: GYRO: ,7.016,0.871,-2.113
18:53:26:689,RX,0000189822 [app] INFO: GYRO: ,7.016,0.871,-2.113
18:53:26:775,RX,0000189912 [app] INFO: GYRO: ,7.016,0.871,-2.113
18:53:26:865,RX,0000190002 [app] INFO: GYRO: ,7.016,0.871,-2.113
18:53:27:008,RX,0000190092 [app] INFO: GYRO: ,7.016,0.871,-2.113
18:53:27:091,RX,0000190227 [app] INFO: GYRO: ,7.016,0.871,-2.113
